cohort,dataset,outcome,representation,model,n,pearson_r,spearman_rho,prediction_sd,pearson_ci_2_5,pearson_ci_97_5,spearman_ci_2_5,spearman_ci_97_5,successful_bootstraps,metric_note,panel_order,drug_name,study_role,mechanism_class
GDSC1_strict_sanger_heldout,GDSC1,AUC,Hallmark pathways,Random forest,336,-0.0213312220697389,-0.0136656691109944,0.2856446443940386,-0.1211693013162874,0.0845803087675388,-0.1174966372631216,0.0947165057993888,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Hallmark pathways,Mean baseline,527,,,8.881784197001252e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Hallmark pathways,Elastic Net,527,0.1106429706121235,0.0901849717731277,0.3744924666180781,0.0264747648460297,0.1869583960140889,0.0063383913694683,0.1680771675767719,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Hallmark pathways,Random forest,527,0.0565102254925883,0.0376623938827674,0.2902145202867388,-0.0316128682185643,0.1403702717850295,-0.0515729649931539,0.1180413595474857,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Hallmark pathways,Mean baseline,527,,,8.881784197001252e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Hallmark pathways,Elastic Net,527,0.0548769886997998,0.0490202910775273,0.3744924666180781,-0.0199540124020912,0.1270741074174051,-0.034696238893122,0.1341956373814289,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Hallmark pathways,Random forest,527,-0.0139990014837305,-0.0051736967659291,0.2902145202867388,-0.0945255825447875,0.0598913079283375,-0.092724157010378,0.0721348852029639,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,3,docetaxel,Confirmatory extension,Microtubule stabilization
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Mean baseline,347,,,2.220446049250313e-16,,,,,0,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Elastic Net,347,0.3706625058930086,0.3308951294704632,0.5718768670620368,0.2913545041536219,0.445416973473025,0.2305696025722887,0.4145488951431481,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Hallmark pathways,Random forest,347,0.2995615428390185,0.2593165944721664,0.3688108365275729,0.1991951358485405,0.3987603437120378,0.1680648052817118,0.3550180439137734,1000,Correlations only; PRISM and GDSC outcomes use different measurement scales.,4,talazoparib,Confirmatory extension,PARP inhibition
