cohort,dataset,outcome,model,n,gene_pearson_r,pathway_pearson_r,pearson_difference_pathway_minus_gene,pearson_difference_ci_2_5,pearson_difference_ci_97_5,pearson_conclusion,gene_spearman_rho,pathway_spearman_rho,spearman_difference_pathway_minus_gene,spearman_difference_ci_2_5,spearman_difference_ci_97_5,spearman_conclusion,successful_paired_bootstraps,panel_order,drug_name,study_role,mechanism_class
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Elastic Net,339,0.0913387342819015,-0.0640918729112484,-0.15543060719315,-0.264087969355098,-0.050800450444249,individual genes favored,0.0231933565173464,-0.1138669763344411,-0.1370603328517876,-0.2306162886678733,-0.035796565289482,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC1_strict_sanger_heldout,GDSC1,LN_IC50,Random forest,339,0.2014228715440013,0.0817261681049215,-0.1196967034390797,-0.2368106150282851,-0.0086546427201819,individual genes favored,0.2165252318657996,0.0556354709239825,-0.1608897609418171,-0.2708679705113008,-0.0560260697235625,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC1_strict_sanger_heldout,GDSC1,AUC,Elastic Net,339,0.0564251064055791,-0.0716062558831181,-0.1280313622886972,-0.2463720706494678,-0.0243288102504454,individual genes favored,0.0064386460454213,-0.1127380648022941,-0.1191767108477155,-0.2201678811499026,-0.0161752096069593,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC1_strict_sanger_heldout,GDSC1,AUC,Random forest,339,0.1869585054390105,0.0707187724021275,-0.1162397330368829,-0.2250064605493302,-0.0139225116779913,individual genes favored,0.195342662383066,0.0471583155962285,-0.1481843467868374,-0.2514083244593769,-0.0421951421999928,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Elastic Net,551,0.0506320748829157,-0.0688266531420897,-0.1194587280250055,-0.2067548942083112,-0.0385941279122958,individual genes favored,-0.0094180899980631,-0.1108669110420866,-0.1014488210440234,-0.1811975882706673,-0.0220224026525611,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC1_heldout_all_expression_sources,GDSC1,LN_IC50,Random forest,551,0.2389233316124122,0.0326747730210149,-0.2062485585913973,-0.2865303966636837,-0.1194265786635669,individual genes favored,0.2562126353091397,-0.0109390759165871,-0.2671517112257268,-0.351871827117786,-0.1824847225197997,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Elastic Net,551,0.0215154942506479,-0.0718756202108908,-0.0933911144615388,-0.1837251556311621,-0.0105949933614019,individual genes favored,-0.0200573875741555,-0.1079505462579715,-0.0878931586838159,-0.1692165050419027,-0.0066782686951764,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC1_heldout_all_expression_sources,GDSC1,AUC,Random forest,551,0.2237498289439913,0.0167952915082685,-0.2069545374357228,-0.2809947767384939,-0.1316850530396456,individual genes favored,0.2359863130635638,-0.0156411268050185,-0.2516274398685824,-0.3322651523574127,-0.1672166539036077,individual genes favored,1000,5,vorinostat,Confirmatory extension,HDAC inhibition
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Elastic Net,348,-0.1117659301262736,0.1603219915692495,0.2720879216955232,0.1733722436352726,0.378848969737899,pathway favored,-0.1727711406676619,0.1621290169923749,0.3349001576600369,0.23707016390643,0.4365916766529139,pathway favored,1000,6,bortezomib,Confirmatory extension,Proteasome inhibition
GDSC2_strict_sanger_heldout,GDSC2,LN_IC50,Random forest,348,0.0673574169178226,0.1797202033073289,0.1123627863895062,0.060094210908525,0.1608665029999935,pathway favored,0.0240049294032124,0.1881088967584447,0.1641039673552322,0.0840263782672195,0.2365502684817782,pathway favored,1000,6,bortezomib,Confirmatory extension,Proteasome inhibition
